estado,año,mes,precio
Aguascalientes,2017,1,16.19
Aguascalientes,2017,2,16.18
Aguascalientes,2017,3,16.1
Aguascalientes,2017,4,16.12
Aguascalientes,2017,5,16.03
Aguascalientes,2017,6,15.93
Aguascalientes,2017,7,15.86
Aguascalientes,2017,8,15.92
Aguascalientes,2017,9,16.15
Aguascalientes,2017,10,16.28
Aguascalientes,2017,11,16.36
Aguascalientes,2017,12,16.48
Aguascalientes,2018,1,17.17
Aguascalientes,2018,2,18.0
Aguascalientes,2018,3,18.26
Aguascalientes,2018,4,18.34
Aguascalientes,2018,5,18.46
Aguascalientes,2018,6,18.65
Aguascalientes,2018,7,19.02
Aguascalientes,2018,8,19.55
Aguascalientes,2018,9,19.8
Aguascalientes,2018,10,20.0
Aguascalientes,2018,11,20.0
Aguascalientes,2018,12,19.81
Aguascalientes,2019,1,19.64
Aguascalientes,2019,2,20.08
Aguascalientes,2019,3,20.34
Aguascalientes,2019,4,19.85
Aguascalientes,2019,5,19.75
Aguascalientes,2019,6,19.65
Aguascalientes,2019,7,19.71
Aguascalientes,2019,8,19.67
Aguascalientes,2019,9,19.74
Aguascalientes,2019,10,19.79
Aguascalientes,2019,11,19.85
Aguascalientes,2019,12,19.92
Aguascalientes,2020,1,19.97
Aguascalientes,2020,2,19.96
Aguascalientes,2020,3,18.39
Aguascalientes,2020,4,15.36
Aguascalientes,2020,5,16.57
Aguascalientes,2020,6,18.01
Aguascalientes,2020,7,19.2
Aguascalientes,2020,8,19.3
Aguascalientes,2020,9,19.08
Aguascalientes,2020,10,18.68
Aguascalientes,2020,11,17.94
Aguascalientes,2020,12,18.18
Aguascalientes,2021,1,19.27
Aguascalientes,2021,2,20.17
Aguascalientes,2021,3,20.46
Aguascalientes,2021,4,20.53
Aguascalientes,2021,5,20.46
Aguascalientes,2021,6,20.47
Aguascalientes,2021,7,20.55
Aguascalientes,2021,8,20.5
Aguascalientes,2021,9,20.25
Aguascalientes,2021,10,20.2
Aguascalientes,2021,11,20.09
Aguascalientes,2021,12,20.26
Aguascalientes,2022,1,20.62
Aguascalientes,2022,2,20.81
Aguascalientes,2022,3,21.25
Aguascalientes,2022,4,21.48
Aguascalientes,2022,5,21.8
Aguascalientes,2022,6,21.81
Aguascalientes,2022,7,21.7
Aguascalientes,2022,8,21.64
Aguascalientes,2022,9,21.4
Aguascalientes,2022,10,21.57
Aguascalientes,2022,11,21.52
Aguascalientes,2022,12,21.22
Aguascalientes,2023,1,21.51
Aguascalientes,2023,2,21.59
Aguascalientes,2023,3,21.63
Aguascalientes,2023,4,21.77
Aguascalientes,2023,5,21.76
Aguascalientes,2023,6,21.97
Aguascalientes,2023,7,22.05
Aguascalientes,2023,8,22.24
Aguascalientes,2023,9,22.32
Aguascalientes,2023,10,22.4
Aguascalientes,2023,11,22.44
Aguascalientes,2023,12,22.43
Aguascalientes,2024,1,22.58
Aguascalientes,2024,2,23.11
Aguascalientes,2024,3,23.3
Aguascalientes,2024,4,23.39
Aguascalientes,2024,5,23.53
Aguascalientes,2024,6,23.63
Aguascalientes,2024,7,23.98
Aguascalientes,2024,8,24.28
Aguascalientes,2024,9,24.36
Aguascalientes,2024,10,24.38
Aguascalientes,2024,11,24.37
Aguascalientes,2024,12,24.39
Aguascalientes,2025,1,24.68
Aguascalientes,2025,2,24.7
Aguascalientes,2025,3,24.07
Aguascalientes,2025,4,23.93
Baja California,2017,1,16.07
Baja California,2017,2,16.04
Baja California,2017,3,15.85
Baja California,2017,4,15.87
Baja California,2017,5,15.83
Baja California,2017,6,15.81
Baja California,2017,7,15.71
Baja California,2017,8,15.8
Baja California,2017,9,15.98
Baja California,2017,10,16.12
Baja California,2017,11,16.27
Baja California,2017,12,16.38
Baja California,2018,1,16.8
Baja California,2018,2,17.31
Baja California,2018,3,17.53
Baja California,2018,4,17.67
Baja California,2018,5,17.81
Baja California,2018,6,18.08
Baja California,2018,7,18.49
Baja California,2018,8,19.03
Baja California,2018,9,19.36
Baja California,2018,10,19.57
Baja California,2018,11,19.61
Baja California,2018,12,19.4
Baja California,2019,1,18.04
Baja California,2019,2,18.17
Baja California,2019,3,18.56
Baja California,2019,4,18.49
Baja California,2019,5,18.43
Baja California,2019,6,18.34
Baja California,2019,7,18.37
Baja California,2019,8,18.17
Baja California,2019,9,18.2
Baja California,2019,10,18.09
Baja California,2019,11,18.0
Baja California,2019,12,18.0
Baja California,2020,1,18.3
Baja California,2020,2,18.37
Baja California,2020,3,17.18
Baja California,2020,4,14.19
Baja California,2020,5,15.53
Baja California,2020,6,17.15
Baja California,2020,7,17.94
